,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
88,2006,EGMORE,". VALLUVAN, A.",N,IND,M,46,SC,208,122297,79326,79326,0.6486340629778327,N
89,2006,EGMORE,. ELAMBARETHY,N,IND,M,40,SC,167,122297,79326,79326,0.6486340629778327,N
90,2006,EGMORE,". SIVAKUMAR, V.",N,IND,M,42,SC,136,122297,79326,79326,0.6486340629778327,N
91,2006,EGMORE,". GANGADURAI, S.P.",N,IND,M,46,SC,114,122297,79326,79326,0.6486340629778327,N
92,2006,EGMORE,". SELVARAJ, P.",N,LJP,M,63,SC,102,122297,79326,79326,0.6486340629778327,N
92,2006,EGMORE,". SELVARAJ, P.",N,LJP,M,63,SC,102,122297,79326,79326,0.6486340629778327,N
93,2006,EGMORE,". CHANDRAN, M.",N,IND,M,45,SC,81,122297,79326,79326,0.6486340629778327,W
93,2006,EGMORE,". CHANDRAN, M.",N,IND,M,45,SC,81,122297,79326,79326,0.6486340629778327,N
94,2006,EGMORE,". SASIKUMAR, M.",N,IND,M,31,SC,63,122297,79326,79326,0.6486340629778327,N
95,2006,EGMORE,". GOPAL, K.",N,IND,M,48,SC,59,122297,79326,79326,0.6486340629778327,N
95,2006,EGMORE,". GOPAL, K.",N,IND,M,48,SC,59,122297,79326,79326,0.6486340629778327,N
96,2006,ANNA NAGAR,. ARCOT VEERASAMY,W,DMK,M,68,GEN,100099,352829,217235,216659,0.6156948550147522,N
96,2006,ANNA NAGAR,. ARCOT VEERASAMY,W,DMK,M,68,GEN,100099,352829,217235,216659,0.6156948550147522,W
97,2006,ANNA NAGAR,. VIJAYA THAYANBAN,N,MDMK,F,56,GEN,87709,352829,217235,216659,0.6156948550147522,N
98,2006,ANNA NAGAR,". RAJAMANY, K.",N,LKPT,M,56,GEN,11665,352829,217235,216659,0.6156948550147522,N
99,2006,ANNA NAGAR,". HANDE, H.V.",N,BJP,M,78,GEN,7897,352829,217235,216659,0.6156948550147522,N
99,2006,ANNA NAGAR,". HANDE, H.V.",N,BJP,M,78,GEN,7897,352829,217235,216659,0.6156948550147522,N
100,2006,ANNA NAGAR,". SENTHAMARAI KANNAN, K.",N,DMDK,M,41,GEN,6594,352829,217235,216659,0.6156948550147522,N
101,2006,ANNA NAGAR,". LOGANATHAN, V.",N,IND,M,34,GEN,683,352829,217235,216659,0.6156948550147522,N
101,2006,ANNA NAGAR,". LOGANATHAN, V.",N,IND,M,34,GEN,683,352829,217235,216659,0.6156948550147522,N
102,2006,ANNA NAGAR,". BALAKRISHNAN, B.",N,IND,M,55,GEN,443,352829,217235,216659,0.6156948550147522,W
103,2006,ANNA NAGAR,". NAGU, A.",N,IND,M,41,GEN,422,352829,217235,216659,0.6156948550147522,W
104,2006,ANNA NAGAR,". PREMA, V.",N,IND,F,38,GEN,323,352829,217235,216659,0.6156948550147522,N
105,2006,ANNA NAGAR,". HARI, T.",N,IND,M,41,ST,312,352829,217235,216659,0.6156948550147522,W
106,2006,ANNA NAGAR,". SIVARAMAN, S.",N,IND,M,60,GEN,166,352829,217235,216659,0.6156948550147522,N
106,2006,ANNA NAGAR,". SIVARAMAN, S.",N,IND,M,60,GEN,166,352829,217235,216659,0.6156948550147522,N
107,2006,ANNA NAGAR,". SUGUMARAN, M.",N,IND,M,35,GEN,163,352829,217235,216659,0.6156948550147522,N
107,2006,ANNA NAGAR,". SUGUMARAN, M.",N,IND,M,35,GEN,163,352829,217235,216659,0.6156948550147522,N
108,2006,ANNA NAGAR,". NANMARAN, V.",N,IND,M,35,GEN,103,352829,217235,216659,0.6156948550147522,N
109,2006,ANNA NAGAR,". SENTHIL MURUGAN, S.",N,DMK,M,31,GEN,80,352829,217235,216659,0.6156948550147522,N
110,2006,THEAGARAYA NAGAR,". KALAIRAJAN, V.P.",W,AIADMK,M,44,GEN,74131,242771,152680,152632,0.6289054293964271,N
111,2006,THEAGARAYA NAGAR,". ANBAZHAGAN, J.",N,DMK,M,48,GEN,57654,242771,152680,152632,0.6289054293964271,N
112,2006,THEAGARAYA NAGAR,". PANDIAN, T.",N,DMDK,M,29,GEN,8824,242771,152680,152632,0.6289054293964271,N
113,2006,THEAGARAYA NAGAR,". ARVIND, S",N,LKPT,M,31,GEN,6323,242771,152680,152632,0.6289054293964271,N
114,2006,THEAGARAYA NAGAR,. MUKTHA V. SRINIVASAN,N,BJP,M,77,GEN,4235,242771,152680,152632,0.6289054293964271,N
115,2006,THEAGARAYA NAGAR,". VISWANATHAN, T.",N,IND,M,51,GEN,402,242771,152680,152632,0.6289054293964271,N
116,2006,THEAGARAYA NAGAR,". RAJENDRA PRASAD, S.",N,BSP,M,27,SC,200,242771,152680,152632,0.6289054293964271,N
117,2006,THEAGARAYA NAGAR,". RAJAN, R.",N,IND,M,36,SC,181,242771,152680,152632,0.6289054293964271,N
118,2006,THEAGARAYA NAGAR,". ANBAZHAGAN, J.",N,IND,M,29,GEN,161,242771,152680,152632,0.6289054293964271,N
118,2006,THEAGARAYA NAGAR,". ANBAZHAGAN, J.",N,IND,M,29,GEN,161,242771,152680,152632,0.6289054293964271,N
119,2006,THEAGARAYA NAGAR,". DEVENDRAN, M.",N,SP,M,61,GEN,159,242771,152680,152632,0.6289054293964271,N
119,2006,THEAGARAYA NAGAR,". DEVENDRAN, M.",N,SP,M,61,GEN,159,242771,152680,152632,0.6289054293964271,W
120,2006,THEAGARAYA NAGAR,". HASAN FAIZAL, L.S.M.",N,IND,M,29,GEN,76,242771,152680,152632,0.6289054293964271,N
121,2006,THEAGARAYA NAGAR,". NATARAJAN, V.",N,IND,M,61,GEN,70,242771,152680,152632,0.6289054293964271,N
122,2006,THEAGARAYA NAGAR,". APPU VIMAL, J.",N,IND,M,26,SC,63,242771,152680,152632,0.6289054293964271,N
123,2006,THEAGARAYA NAGAR,". MAHALINGAM, J.S.",N,IND,M,45,GEN,59,242771,152680,152632,0.6289054293964271,N
124,2006,THEAGARAYA NAGAR,". PANDURANGAN, D.V.",N,IND,M,57,GEN,53,242771,152680,152632,0.6289054293964271,N
